Reporter Name	Partner Name	Year	Trade Flow	No Of exported HS6 digit Products	No Of imported HS6 digit Products	Export Share in Total Products (%)	Import Share in Total Products (%)	Trade Balance (US$ Thousand)	Export (US$ Thousand)	Import (US$ Thousand)	Import Partner Share (%)	Export Partner Share (%)	AHS Simple Average (%)	AHS Weighted Average (%)	AHS Total Tariff Lines	AHS Dutiable Tariff Lines Share (%)	AHS Duty Free Tariff Lines Share (%)	AHS Specific Tariff Lines Share (%)	AHS AVE Tariff Lines Share (%)	AHS MaxRate (%)	AHS MinRate (%)	AHS SpecificDuty Imports(US$ Thousand)	AHS Dutiable Imports (US$ Thousand)	AHS Duty Free Imports (US$ Thousand)	MFN Simple Average (%)	MFN Weighted Average (%)	MFN Total Tariff Lines	MFN Dutiable Tariff Lines Share (%)	MFN Duty Free Tariff Lines Share (%)	MFN Specific Tariff Lines Share (%)	MFN AVE Tariff Lines Share (%)	MFN MaxRate (%)	MFN MinRate (%)	MFN SpecificDuty Imports (US$ Thousand)	MFN Dutiable Imports (US$ Thousand)	MFN Duty Free Imports (US$ Thousand)	No Of Tariff Agreement
Germany	Antarctica	2019	Exports & Imports	113	20	2.56	0.44	6468.12	6964.98	496.86	0	0	2.67	6.31	78	75.64	23.08	1.28	0	12	0	18.09	276.83	38.75	2.67	6.31	78	75.64	23.08	1.28	0	12	0	18.09	276.83	38.75	
Germany	Fr. So. Ant. Tr	2019	Exports & Imports	197	5	4.46	0.11	3760	3799.36	39.36	0	0	0	0	28	0	100	0	0	0	0	0	0	37.27	0.14	0.16	28	57.14	42.86	0	0	0.8	0	0	10.78	26.49	
Germany	Antigua and Barbuda	2019	Exports & Imports	342	40	7.75	0.89	175.52	8990.23	8814.71	0	0	0	0	221	0	100	0	0	0	0	0	0	8423.39	3.65	1.01	221	70.14	23.08	2.26	4.52	31.79	0	1.23	8366.45	56.94	
Germany	Australia	2019	Exports & Imports	3196	1749	72.42	38.89	7346011.6	10370544.32	3024532.72	0.24	0.69	4.63	1.24	6966	67.79	18.79	1.87	11.56	237.64	0	67013.59	404538.64	2151092.55	4.63	1.24	6966	67.79	18.79	1.87	11.56	237.64	0	67013.59	404538.64	2151092.55	
Germany	Austria	2019	Exports & Imports	4215	3839	95.51	85.37	24704574.68	70988488.26	46283913.58	3.73	4.75																									
Germany	Azerbaijan	2019	Exports & Imports	1928	138	43.69	3.07	-979085.95	528750.99	1507836.94	0.12	0.04	4.19	0.06	1104	55.34	15.58	2.99	26.09	57.6	0	58.84	26678.54	1479774.63	4.19	0.06	1104	55.34	15.58	2.99	26.09	57.6	0	58.84	26678.54	1479774.63	
Germany	Burundi	2019	Exports & Imports	271	14	6.14	0.31	2778.64	15087.87	12309.23	0	0	0.26	0	33	12.12	87.88	0	0	3.7	0	0	0.13	12309.05	5.99	0.1	33	60.61	39.39	0	0	16.9	0	0	135.46	12173.72	
Germany	Belgium	2019	Exports & Imports	4097	3752	92.84	83.43	6109276.47	51634515.39	45525238.92	3.67	3.46																									
Germany	Benin	2019	Exports & Imports	612	38	13.87	0.84	38244.3	41349.1	3104.8	0	0	0.67	0.04	188	45.21	54.79	0	0	4.2	0	0	78.96	2954.22	2.16	0.07	188	57.98	42.02	0	0	16.9	0	0	84.03	2949.16	
Germany	Bonaire	2019	Exports & Imports	150	5	3.4	0.11	2233.37	2276.78	43.41	0	0	1.15	1.71	41	63.41	26.83	0	9.76	4.28	0	0	5.58	0.45	1.15	1.71	41	63.41	26.83	0	9.76	4.28	0	0	5.58	0.45	
